,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,11.289794413577894,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,12.959846800844963,40,Diesel
2,Hyundai Grand i10,Hyundai,2014,12.691583538230217,28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,13.26212705890841,36000,Diesel
4,Ford Figo,Ford,2012,12.07254696717504,41000,Diesel
5,Hyundai Eon,Hyundai,2013,12.154784614286667,25000,Petrol
6,Ford EcoSport Ambiente,Ford,2016,13.629182184591333,24530,Diesel
7,Maruti Suzuki Alto,Maruti,2015,12.429220196836383,60000,Petrol
8,Skoda Fabia Classic,Skoda,2010,12.111767460549332,60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,12.660331092405906,30000,Petrol
10,Hyundai Elite i20,Hyundai,2014,12.936036208848487,32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,12.676079399771027,48660,Diesel
12,Hyundai Santro Xing,Hyundai,2007,11.289794413577894,45000,Petrol
13,Mahindra Jeep CL550,Mahindra,2006,12.959846800844963,40,Diesel
14,Audi A8,Audi,2017,13.815511557963774,4000,Petrol
15,Audi Q7,Audi,2014,13.122365377402328,16934,Diesel
16,Mahindra Scorpio S10,Mahindra,2016,12.765691290604371,43000,Diesel
17,Maruti Suzuki Alto,Maruti,2014,11.982935344196433,35550,Petrol
18,Mahindra Scorpio S10,Mahindra,2016,12.765691290604371,43000,Diesel
19,Mahindra Scorpio S10,Mahindra,2016,12.644330802262578,39522,Diesel
20,Maruti Suzuki Alto,Maruti,2015,11.225256725762893,39000,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,11.51293546492023,55000,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,11.51293546492023,55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,11.51293546492023,55000,Petrol
24,Maruti Suzuki Alto,Maruti,2017,12.154784614286667,72000,Petrol
25,Maruti Suzuki Vitara,Maruti,2016,12.577639650232573,15975,Diesel
26,Maruti Suzuki Alto,Maruti,2008,11.461642696843066,70000,Petrol
27,Mahindra Bolero DI,Mahindra,2017,12.100717685412471,23452,Diesel
28,Maruti Suzuki Swift,Maruti,2014,12.861001210669146,35522,Diesel
29,Mahindra Scorpio S10,Mahindra,2015,12.429220196836383,48508,Diesel
30,Maruti Suzuki Swift,Maruti,2017,12.100717685412471,15487,Petrol
31,Maruti Suzuki Wagon,Maruti,2013,11.561725152903833,39000,Petrol
32,Maruti Suzuki Wagon,Maruti,2013,11.561725152903833,39000,Petrol
33,Toyota Innova 2.0,Toyota,2012,13.384729180332174,82000,Diesel
34,Renault Lodgy 85,Renault,2018,13.444446876573442,20000,Diesel
35,Skoda Yeti Ambition,Skoda,2012,13.012550743537489,68000,Diesel
36,Maruti Suzuki Baleno,Maruti,2017,13.215855541983634,32000,Diesel
37,Renault Duster 110,Renault,2012,13.124363376072994,38000,Diesel
38,Renault Duster 85,Renault,2013,13.102160670086809,27000,Diesel
39,Honda City 1.5,Honda,2011,12.54254845357358,33000,Petrol
40,Maruti Suzuki Alto,Maruti,2015,12.429220196836383,60000,Petrol
41,Maruti Suzuki Dzire,Maruti,2013,12.765688433465597,46000,Diesel
42,Honda Amaze,Honda,2013,12.560244459250788,46000,Diesel
43,Honda Amaze 1.5,Honda,2015,12.75130259456002,36000,Diesel
44,Honda City,Honda,2015,13.122363377404328,55000,Petrol
